resource_uri,law_name,law_code,announce_date,enforce_date
http://lod.law.go.kr/resource/LSI130808,민사소송비용법,130808,2012-12-18,2013-12-19
http://lod.law.go.kr/resource/LSI121682,국가보증채무 관리 규칙,121682,2012-01-06,2012-01-06
http://lod.law.go.kr/resource/LSI91501,대한민국과 아메리카합중국 간의 상호방위조약 제4조에 의한 시설과 구역 및 대한민국에서의 합중국 군대의 지위에 관한 협정의 시행에 관한 민사특별법,91501,2009-01-30,2009-01-30
http://lod.law.go.kr/resource/LSI36135,고엽제가사용된남방한계선인접지역의범위에관한규칙,36135,2000-07-05,2000-07-05
http://lod.law.go.kr/resource/LSI20194,민법제312조의2단서의시행에관한규정,20194,1984-09-01,1984-09-01
http://lod.law.go.kr/resource/LSI112289,국ㆍ공유 부동산의 등기 촉탁에 관한 법률,112289,2011-04-12,2011-10-13
http://lod.law.go.kr/resource/LSI108405,동산ㆍ채권 등의 담보에 관한 법률 시행령,108405,2010-10-21,2012-06-11
http://lod.law.go.kr/resource/LSI98207,축사의 부동산등기에 관한 특례규칙,98207,2009-12-31,2010-01-22
http://lod.law.go.kr/resource/LSI125729,국민사법참여위원회 규칙,125729,2012-05-29,2012-05-29
http://lod.law.go.kr/resource/LSI36426,유류오염손해배상사건등의절차에관한규칙,36426,1995-10-27,1995-10-27
http://lod.law.go.kr/resource/LSI83895,담보부사채신탁법시행규칙,83895,2008-03-03,2008-03-03
http://lod.law.go.kr/resource/LSI117412,개인정보 단체소송규칙,117412,2011-09-28,2011-09-30
http://lod.law.go.kr/resource/LSI135992,특정물품등의조달에관한국가를당사자로하는계약에관한법률시행령특례규정,135992,2013-03-23,2013-03-23
http://lod.law.go.kr/resource/LSI91383,신원보증법,91383,2009-01-30,2009-01-30
http://lod.law.go.kr/resource/LSI102647,공증인의 정원 및 신원보증금에 관한 규칙,102647,2010-02-05,2010-02-07
http://lod.law.go.kr/resource/LSI52366,국제민사사법공조규칙,52366,2002-06-28,2002-07-01
http://lod.law.go.kr/resource/LSI136693,국제민사사법공조법,136693,2013-03-23,2013-03-23
http://lod.law.go.kr/resource/LSI125251,남북 주민 사이의 가족관계와 상속 등에 관한 특례법 시행령,125251,2012-05-07,2012-05-11
http://lod.law.go.kr/resource/LSI181255,가사소송수수료규칙,181255,2016-02-19,2016-07-01
http://lod.law.go.kr/resource/LSI173112,특정조달을 위한 국가를 당사자로 하는 계약에 관한 법률 시행 특례규칙,173112,2015-07-20,2016-01-14
http://lod.law.go.kr/resource/LSI179505,남북 주민 사이의 가족관계와 상속 등에 관한 특례법,179505,2016-01-19,2016-01-19
http://lod.law.go.kr/resource/LSI139904,베트남 법원연수원 역량강화사업 기술용역계약에 따른 용역비 취급규칙,139904,2013-05-01,2013-05-01
http://lod.law.go.kr/resource/LSI164242,채권의 공정한 추심에 관한 법률 시행령,164242,2014-11-21,2014-11-21
http://lod.law.go.kr/resource/LSI191496,민사소송비용규칙,191496,2017-02-02,2017-02-02
http://lod.law.go.kr/resource/LSI188538,가등기담보 등에 관한 법률,188538,2016-12-27,2017-03-28
http://lod.law.go.kr/resource/LSI174491,부도공공건설임대주택 임차인 보호를 위한 특별법,174491,2015-08-28,2015-12-29
http://lod.law.go.kr/resource/LSI96889,국가에 귀속하는 상속재산 이전에 관한 법률,96889,2009-10-21,2009-10-21
http://lod.law.go.kr/resource/LSI188376,난민법,188376,2016-12-20,2016-12-20
http://lod.law.go.kr/resource/LSI198486,후견등기에 관한 법률,198486,2017-10-31,2019-01-01
http://lod.law.go.kr/resource/LSI186202,회생ㆍ파산위원회 설치 및 운영에 관한 규칙,186202,2016-09-06,2016-09-06
http://lod.law.go.kr/resource/LSI207952,민사집행법 시행령,207952,2019-03-05,2019-04-01
http://lod.law.go.kr/resource/LSI185425,부도공공건설임대주택 임차인 보호를 위한 특별법 시행령,185425,2016-08-11,2016-08-12
http://lod.law.go.kr/resource/LSI199798,부동산서비스산업 진흥법,199798,2017-12-19,2018-06-20
http://lod.law.go.kr/resource/LSI193039,대한민국과 아메리카합중국 간의 상호방위조약 제4조에 의한 시설과 구역 및 대한민국에서의 합중국 군대의 지위에 관한 협정의 시행에 관한 민사특별법 시행규칙,193039,2017-03-30,2017-03-30
http://lod.law.go.kr/resource/LSI192768,대한민국과아메리카합중국간의상호방위조약제4조에의한시설과구역및대한민국에서의합중국군대의지위에관한협정의시행에관한민사특별법시행령,192768,2017-03-27,2017-03-30
http://lod.law.go.kr/resource/LSI207953,성매매알선 등 행위의 처벌에 관한 법률 시행령,207953,2019-03-05,2019-03-05
http://lod.law.go.kr/resource/LSI205342,담보부사채신탁법 시행령,205342,2018-12-04,2018-12-04
http://lod.law.go.kr/resource/LSI193041,부동산 실권리자명의 등기에 관한 법률 시행규칙,193041,2017-03-30,2017-03-30
http://lod.law.go.kr/resource/LSI213959,국가채권 관리법,213959,2020-02-04,2020-08-05
http://lod.law.go.kr/resource/LSI213779,민사조정법,213779,2020-02-04,2020-03-05
http://lod.law.go.kr/resource/LSI208499,보호시설에 있는 미성년자의 후견 직무에 관한 법률 시행령,208499,2019-04-23,2019-05-24
http://lod.law.go.kr/resource/LSI219991,고위공직자범죄수사처의 개인정보 처리에 관한 규정,219991,2020-07-14,2020-07-15
http://lod.law.go.kr/resource/LSI220609,변호사ㆍ법무사의 자격이 있는 보증인의 보수에 관한 규칙,220609,2020-07-31,2020-08-05
http://lod.law.go.kr/resource/LSI218845,원자력손해배상 보상계약에 관한 법률,218845,2020-06-09,2020-06-09
http://lod.law.go.kr/resource/LSI215759,부동산 실권리자명의 등기에 관한 법률,215759,2020-03-24,2020-03-24
http://lod.law.go.kr/resource/LSI219877,부동산등기특별조치법에따른대법원규칙,219877,2020-06-26,2020-06-26
http://lod.law.go.kr/resource/LSI210145,축사의 부동산등기에 관한 특례법,210145,2019-08-20,2019-11-21
http://lod.law.go.kr/resource/LSI210085,가사소송규칙,210085,2019-08-02,2019-08-02
http://lod.law.go.kr/resource/LSI219361,부동산 가격공시에 관한 법률,219361,2020-06-09,2020-12-10
http://lod.law.go.kr/resource/LSI227729,원자력손해배상 보상계약에 관한 법률 시행령,227729,2021-01-05,2021-01-05
http://lod.law.go.kr/resource/LSI227319,국제도로 면세통과 증서의 담보하에 행하는 화물의 국제운송에 관한 관세협약 및 1972년 콘테이너에 관한 관세협약의 시행에 관한 규정,227319,2021-01-05,2021-01-05
http://lod.law.go.kr/resource/LSI222425,동산ㆍ채권 등의 담보에 관한 법률,222425,2020-10-20,2022-04-21
http://lod.law.go.kr/resource/LSI227745,유류오염손해배상 보장법 시행령,227745,2021-01-05,2021-01-05
http://lod.law.go.kr/resource/LSI219353,한국부동산원법,219353,2020-06-09,2020-12-10
http://lod.law.go.kr/resource/LSI227727,원자력 손해배상법 시행령,227727,2021-01-05,2021-01-05
http://lod.law.go.kr/resource/LSI231795,이중상환청구권부 채권 발행에 관한 법률,231795,2021-04-20,2021-07-21
http://lod.law.go.kr/resource/LSI240291,주택임대차계약증서상의 확정일자 부여 및 임대차 정보제공에 관한 규칙,240291,2022-02-07,2022-02-07
http://lod.law.go.kr/resource/LSI231863,원자력 손해배상법,231863,2021-04-20,2021-10-21
http://lod.law.go.kr/resource/LSI236639,민사조정규칙,236639,2021-10-29,2021-11-18
http://lod.law.go.kr/resource/LSI245003,기술보증기금법,245003,2022-10-18,2023-04-19
http://lod.law.go.kr/resource/LSI240625,국가채권 관리법 시행령,240625,2022-02-17,2022-02-18
http://lod.law.go.kr/resource/LSI240275,상가건물 임대차계약서상의 확정일자 부여 및 임대차 정보제공에 관한 규칙,240275,2022-02-07,2022-02-07
http://lod.law.go.kr/resource/LSI241621,부동산 가격공시에 관한 법률 시행규칙,241621,2022-03-30,2022-03-30
http://lod.law.go.kr/resource/LSI231757,담보부사채신탁법,231757,2021-04-20,2021-07-21
http://lod.law.go.kr/resource/LSI236637,도시철도법 등에 의한 구분지상권 등기규칙,236637,2021-10-29,2021-12-16
http://lod.law.go.kr/resource/LSI243613,군검찰 및 군사법경찰관리의 개인정보 처리에 관한 규정,243613,2022-06-30,2022-07-01
http://lod.law.go.kr/resource/LSI236589,국가채권 관리법 시행규칙,236589,2021-10-28,2021-10-28
http://lod.law.go.kr/resource/LSI243269,가사근로자의 고용개선 등에 관한 법률 시행규칙,243269,2022-06-09,2022-06-16
http://lod.law.go.kr/resource/LSI229871,이중상환청구권부 채권 발행에 관한 법률 시행령,229871,2021-03-02,2021-03-02
http://lod.law.go.kr/resource/LSI232357,후견등기에 관한 규칙,232357,2021-05-27,2021-06-10
http://lod.law.go.kr/resource/LSI243145,자동차 등 특정동산 저당법,243145,2022-06-10,2023-06-11
http://lod.law.go.kr/resource/LSI245683,민사판결서 열람 및 복사에 관한 규칙,245683,2022-12-01,2023-01-01
http://lod.law.go.kr/resource/LSI243695,검찰 및 특별사법경찰관리 등의 개인정보 처리에 관한 규정,243695,2022-07-05,2022-07-05
http://lod.law.go.kr/resource/LSI232367,주택임대차계약증서의 확정일자 부여 및 정보제공에 관한 규칙,232367,2021-05-27,2021-06-10
http://lod.law.go.kr/resource/LSI248019,민사 및 가사소송의 사물관할에 관한 규칙,248019,2023-01-31,2023-03-01
http://lod.law.go.kr/resource/LSI233459,기술보증기금법 시행규칙,233459,2021-06-24,2021-06-24
http://lod.law.go.kr/resource/LSI232959,가사근로자의 고용개선 등에 관한 법률,232959,2021-06-15,2022-06-16
http://lod.law.go.kr/resource/LSI233635,유류오염손해배상 보장법 시행규칙,233635,2021-06-30,2021-06-30
http://lod.law.go.kr/resource/LSI238797,상가건물 임대차보호법,238797,2022-01-04,2022-01-04
http://lod.law.go.kr/resource/LSI250219,부동산개발업의 관리 및 육성에 관한 법률,250219,2023-04-18,2023-10-19
http://lod.law.go.kr/resource/LSI233691,신용보증기금법 시행규칙,233691,2021-06-30,2021-06-30
http://lod.law.go.kr/resource/LSI250715,감정평가 및 감정평가사에 관한 법률,250715,2023-05-09,2023-08-10
http://lod.law.go.kr/resource/LSI238263,부동산등기 특별조치법,238263,2021-12-28,2022-01-01
http://lod.law.go.kr/resource/LSI251271,농림수산업자 신용보증법 시행령,251271,2023-05-30,2023-05-30
http://lod.law.go.kr/resource/LSI249869,보호시설에 있는 미성년자의 후견 직무에 관한 법률,249869,2023-04-11,2023-10-12
http://lod.law.go.kr/resource/LSI234635,남북 주민 사이의 가족관계와 상속 등에 관한 특례법 시행규칙,234635,2021-08-06,2021-08-06
http://lod.law.go.kr/resource/LSI238893,농림수산업자 신용보증법,238893,2022-01-04,2022-01-04
http://lod.law.go.kr/resource/LSI246561,법인 아닌 사단ㆍ재단 및 외국인의 부동산등기용 등록번호 부여절차에 관한 규정,246561,2022-12-27,2023-01-01
http://lod.law.go.kr/resource/LSI254623,민사소송 등 인지규칙,254623,2023-08-31,2023-10-19
http://lod.law.go.kr/resource/LSI254593,법원 개인정보 보호에 관한 규칙,254593,2023-08-31,2023-09-15
http://lod.law.go.kr/resource/LSI252393,민사소송법,252393,2023-07-11,2025-07-12
http://lod.law.go.kr/resource/LSI247035,법인 아닌 사단ㆍ재단 및 외국인의 부동산등기용 등록번호 부여절차에 관한 규정 시행규칙,247035,2022-12-27,2022-12-27
http://lod.law.go.kr/resource/LSI267359,채무자 회생 및 파산에 관한 법률,267359,2024-12-20,2025-06-21
http://lod.law.go.kr/resource/LSI263061,채무자 회생 및 파산에 관한 규칙,263061,2024-05-30,2024-05-30
http://lod.law.go.kr/resource/LSI257487,성매매알선 등 행위의 처벌에 관한 법률,257487,2023-12-29,2024-01-01
http://lod.law.go.kr/resource/LSI265307,민법,265307,2024-09-20,2025-01-31
http://lod.law.go.kr/resource/LSI265351,민사집행법,265351,2024-09-20,2025-01-31
http://lod.law.go.kr/resource/LSI251943,보증인 보호를 위한 특별법,251943,2023-06-20,2023-12-21
http://lod.law.go.kr/resource/LSI265671,공기업ㆍ준정부기관 계약사무규칙,265671,2024-09-27,2024-09-27
http://lod.law.go.kr/resource/LSI259881,임금채권보장법,259881,2024-02-06,2024-08-07
http://lod.law.go.kr/resource/LSI259641,부동산 거래신고 등에 관한 법률,259641,2024-02-06,2024-05-17
http://lod.law.go.kr/resource/LSI253321,민사소송 등에서의 전자문서 이용 등에 관한 법률,253321,2023-08-08,2025-02-03
http://lod.law.go.kr/resource/LSI260897,개인금융채권의 관리 및 개인금융채무자의 보호에 관한 법률,260897,2024-02-27,2024-10-17
http://lod.law.go.kr/resource/LSI265547,감정평가 및 감정평가사에 관한 법률 시행령,265547,2024-09-26,2024-09-26
http://lod.law.go.kr/resource/LSI253973,지방자치단체를 당사자로 하는 계약에 관한 법률,253973,2023-08-16,2024-02-17
http://lod.law.go.kr/resource/LSI258671,민사소송 등 인지법,258671,2024-01-16,2025-03-01
http://lod.law.go.kr/resource/LSI256591,부동산개발업의 관리 및 육성에 관한 법률 시행령,256591,2023-12-12,2023-12-12
http://lod.law.go.kr/resource/LSI263457,부동산개발업의 관리 및 육성에 관한 법률 시행규칙,263457,2024-06-25,2024-09-26
http://lod.law.go.kr/resource/LSI265653,감정평가 및 감정평가사에 관한 법률 시행규칙,265653,2024-09-26,2024-09-26
http://lod.law.go.kr/resource/LSI263089,채무자 회생 및 파산에 관한 법률 시행령,263089,2024-06-11,2024-06-11
http://lod.law.go.kr/resource/LSI264097,방위산업에 관한 계약사무 처리규칙,264097,2024-07-16,2024-07-17
http://lod.law.go.kr/resource/LSI257909,부동산 거래신고 등에 관한 법률 시행규칙,257909,2023-12-29,2024-01-01
http://lod.law.go.kr/resource/LSI249999,주택임대차보호법,249999,2023-04-18,2023-07-19
http://lod.law.go.kr/resource/LSI252747,임차권등기명령 절차에 관한 규칙,252747,2023-07-14,2023-07-19
http://lod.law.go.kr/resource/LSI260619,부동산투자회사법,260619,2024-02-20,2024-08-21
http://lod.law.go.kr/resource/LSI251373,자동차 등 특정동산 저당법 시행령,251373,2023-06-07,2023-06-11
http://lod.law.go.kr/resource/LSI260641,부동산투자회사법 시행규칙,260641,2024-02-16,2024-02-17
http://lod.law.go.kr/resource/LSI249997,가사소송법,249997,2023-04-18,2023-10-19
http://lod.law.go.kr/resource/LSI266895,동산ㆍ채권의 담보등기 등에 관한 규칙,266895,2024-11-29,2025-01-31
http://lod.law.go.kr/resource/LSI266847,부동산등기규칙,266847,2024-11-29,2025-01-31
http://lod.law.go.kr/resource/LSI268669,채권의 공정한 추심에 관한 법률,268669,2025-01-21,2025-07-22
http://lod.law.go.kr/resource/LSI265377,부동산등기법,265377,2024-09-20,2025-01-31
http://lod.law.go.kr/resource/LSI262411,부동산 실권리자명의 등기에 관한 법률 시행령,262411,2024-05-07,2024-05-17
http://lod.law.go.kr/resource/LSI266765,공장 및 광업재단 저당등기 규칙,266765,2024-11-29,2025-01-31
http://lod.law.go.kr/resource/LSI266295,전세사기피해자 지원 및 주거안정에 관한 특별법 시행령,266295,2024-11-08,2024-11-11
http://lod.law.go.kr/resource/LSI266851,민법법인 및 특수법인 등기규칙,266851,2024-11-29,2025-01-31
http://lod.law.go.kr/resource/LSI267779,가사근로자의 고용개선 등에 관한 법률 시행령,267779,2024-12-31,2024-12-31
http://lod.law.go.kr/resource/LSI264529,성매매알선 등 행위의 처벌에 관한 법률 시행규칙,264529,2024-07-30,2024-07-30
http://lod.law.go.kr/resource/LSI264717,임금채권보장법 시행령,264717,2024-08-06,2024-08-07
http://lod.law.go.kr/resource/LSI255265,헌법재판소 개인정보 보호 규칙,255265,2023-10-05,2023-10-05
http://lod.law.go.kr/resource/LSI268355,기술보증기금법 시행령,268355,2025-01-21,2025-01-31
http://lod.law.go.kr/resource/LSI267909,민사소송 등에서의 전자문서 이용 등에 관한 규칙,267909,2024-12-31,2025-02-03
http://lod.law.go.kr/resource/LSI270307,신용보증기금법,270307,2025-04-01,2025-10-02
http://lod.law.go.kr/resource/LSI266819,경찰공무원 등의 개인정보 처리에 관한 규정,266819,2024-12-03,2024-12-03
http://lod.law.go.kr/resource/LSI268683,자동차손해배상 보장법 시행규칙,268683,2025-01-17,2025-01-17
http://lod.law.go.kr/resource/LSI272739,상속세 및 증여세법 시행규칙,272739,2025-07-04,2025-07-04
http://lod.law.go.kr/resource/LSI270267,종합부동산세법 시행규칙,270267,2025-03-21,2025-06-04
http://lod.law.go.kr/resource/LSI272517,자동차손해배상 보장법 시행령,272517,2025-06-20,2025-06-21
http://lod.law.go.kr/resource/LSI269349,개인정보 보호위원회 직제,269349,2025-02-25,2025-02-25
http://lod.law.go.kr/resource/LSI276893,양육비 이행확보 및 지원에 관한 법률,276893,2025-10-01,2025-10-01
http://lod.law.go.kr/resource/LSI276899,인신매매등방지 및 피해자보호 등에 관한 법률,276899,2025-10-01,2025-10-01
http://lod.law.go.kr/resource/LSI276877,성매매방지 및 피해자보호 등에 관한 법률,276877,2025-10-01,2025-10-01
http://lod.law.go.kr/resource/LSI272785,지방자치단체를 당사자로 하는 계약에 관한 법률 시행규칙,272785,2025-07-08,2025-07-08
http://lod.law.go.kr/resource/LSI273927,신용보증기금법 시행령,273927,2025-09-30,2025-10-02
http://lod.law.go.kr/resource/LSI275181,부동산투자회사법 시행령,275181,2025-09-30,2025-09-30
http://lod.law.go.kr/resource/LSI279445,특정물품등의조달에관한국가를당사자로하는계약에관한법률시행특례규칙,279445,2025-10-31,2025-10-31
http://lod.law.go.kr/resource/LSI259323,선거관리위원회 개인정보 보호에 관한 규칙,259323,2024-01-19,2024-01-19
http://lod.law.go.kr/resource/LSI278681,임금채권보장법 시행규칙,278681,2025-10-01,2025-10-01
http://lod.law.go.kr/resource/LSI270549,지역신용보증재단법 시행령,270549,2025-04-08,2025-04-22
http://lod.law.go.kr/resource/LSI272631,민사집행규칙,272631,2025-06-26,2025-07-12
http://lod.law.go.kr/resource/LSI272655,민사소송규칙,272655,2025-06-26,2025-07-12
http://lod.law.go.kr/resource/LSI264885,부동산등기 특별조치법에 따른 과태료 부과ㆍ징수규칙,264885,2024-08-13,2024-08-13
http://lod.law.go.kr/resource/LSI276123,상속세 및 증여세법,276123,2025-10-01,2025-10-01
http://lod.law.go.kr/resource/LSI266399,부동산서비스산업 진흥법 시행규칙,266399,2024-11-12,2024-11-12
http://lod.law.go.kr/resource/LSI277589,국가를 당사자로 하는 계약에 관한 법률 시행령,277589,2025-10-01,2025-10-01
http://lod.law.go.kr/resource/LSI266981,부동산 가격공시에 관한 법률 시행령,266981,2024-12-10,2024-12-10
http://lod.law.go.kr/resource/LSI277615,상속세 및 증여세법 시행령,277615,2025-10-01,2025-10-01
http://lod.law.go.kr/resource/LSI261415,국가를 당사자로 하는 계약에 관한 법률,261415,2024-03-26,2024-09-27
http://lod.law.go.kr/resource/LSI268453,한국부동산원법 시행령,268453,2025-01-21,2025-01-31
http://lod.law.go.kr/resource/LSI277773,지방자치단체를 당사자로 하는 계약에 관한 법률 시행령,277773,2025-10-01,2025-10-01
http://lod.law.go.kr/resource/LSI270351,개인정보 보호법,270351,2025-04-01,2025-10-02
http://lod.law.go.kr/resource/LSI277629,특정조달을 위한 국가를 당사자로 하는 계약에 관한 법률 시행령 특례규정,277629,2025-10-01,2025-10-01
http://lod.law.go.kr/resource/LSI266929,난민법 시행규칙,266929,2024-12-03,2024-12-03
http://lod.law.go.kr/resource/LSI269879,종합부동산세법,269879,2025-03-14,2025-03-14
http://lod.law.go.kr/resource/LSI267649,주택임대차보호법 시행령,267649,2024-12-31,2025-03-01
http://lod.law.go.kr/resource/LSI268591,지역신용보증재단법,268591,2025-01-21,2025-04-22
http://lod.law.go.kr/resource/LSI271013,국가를 당사자로 하는 계약에 관한 법률 시행규칙,271013,2025-05-01,2025-05-01
http://lod.law.go.kr/resource/LSI270627,도시철도채권 매입사무 취급규칙,270627,2025-04-11,2025-04-11
http://lod.law.go.kr/resource/LSI271123,전세사기피해자 지원 및 주거안정에 관한 특별법,271123,2025-05-20,2025-05-20
http://lod.law.go.kr/resource/LSI277961,부동산서비스산업 진흥법 시행령,277961,2025-10-01,2025-10-01
http://lod.law.go.kr/resource/LSI267689,상가건물 임대차보호법 시행령,267689,2024-12-31,2025-03-01
http://lod.law.go.kr/resource/LSI269603,개인정보 보호위원회 직제 시행규칙,269603,2025-03-04,2025-03-04
http://lod.law.go.kr/resource/LSI269477,종합부동산세법 시행령,269477,2025-02-28,2025-02-28
http://lod.law.go.kr/resource/LSI277441,성매매방지 및 피해자보호 등에 관한 법률 시행령,277441,2025-10-01,2025-10-01
http://lod.law.go.kr/resource/LSI263075,농림수산업자 신용보증법 시행규칙,263075,2024-05-31,2024-05-31
http://lod.law.go.kr/resource/LSI277461,인신매매등방지 및 피해자보호 등에 관한 법률 시행령,277461,2025-10-01,2025-10-01
http://lod.law.go.kr/resource/LSI277455,양육비 이행확보 및 지원에 관한 법률 시행령,277455,2025-10-01,2025-10-01
http://lod.law.go.kr/resource/LSI259391,우주손해배상법,259391,2024-01-26,2024-05-27
http://lod.law.go.kr/resource/LSI278839,양육비 이행확보 및 지원에 관한 법률 시행규칙,278839,2025-10-01,2025-10-01
http://lod.law.go.kr/resource/LSI273705,난민법 시행령,273705,2025-09-16,2025-09-19
http://lod.law.go.kr/resource/LSI273851,전세사기피해자 지원 및 주거안정에 관한 특별법 시행규칙,273851,2025-09-19,2025-09-19
http://lod.law.go.kr/resource/LSI278831,성매매방지 및 피해자보호 등에 관한 법률 시행규칙,278831,2025-10-01,2025-10-01
http://lod.law.go.kr/resource/LSI278849,인신매매등방지 및 피해자보호 등에 관한 법률 시행규칙,278849,2025-10-01,2025-10-01
http://lod.law.go.kr/resource/LSI270903,부동산 거래신고 등에 관한 법률 시행령,270903,2025-04-29,2025-04-29
http://lod.law.go.kr/resource/LSI277017,자동차손해배상 보장법,277017,2025-10-01,2025-10-01
http://lod.law.go.kr/resource/LSI273745,개인정보 보호법 시행령,273745,2025-09-23,2025-10-02
http://lod.law.go.kr/resource/LSI277081,유류오염손해배상 보장법,277081,2025-10-01,2025-10-01
http://lod.law.go.kr/resource/LSI278137,개인금융채권의 관리 및 개인금융채무자의 보호에 관한 법률 시행령,278137,2025-10-01,2025-10-01
http://lod.law.go.kr/resource/LSI279347,법인 및 재외국민의 부동산등기용등록번호 부여에 관한 규칙,279347,2025-10-31,2025-11-03
http://lod.law.go.kr/resource/LSI276273,공장 및 광업재단 저당법,276273,2025-10-01,2025-10-01
